A/C,RH,UT,OT,RH_UT,RH_OT,N,UT_OT
brinjal LR,0.298850575,0.327586207,0.17816092,0.060344828,0.07183908,0.025862069,0.037356322
brinjal KR,0.175384615,0.36,0.206153846,0.036923077,0.055384615,0.126153846,0.04
brinjal NR,0.303816794,0.294656489,0.21221374,0.044274809,0.064122137,0.039694656,0.041221374
cabbage MR,0.117647059,0.470588235,0.205882353,0.088235294,0.088235294,0,0.029411765
cabbage HR,0,0.4,0.4,0.2,0,0,0
cabbage LR,0.278195489,0.338345865,0.127819549,0.045112782,0.112781955,0.030075188,0.067669173
cabbage KR,0.277777778,0.284511785,0.193602694,0.052188552,0.065656566,0.084175084,0.042087542
cabbage NR,0.280060883,0.333333333,0.214611872,0.04718417,0.050228311,0.03652968,0.03805175
capsicum MR,0.222222222,0.222222222,0.222222222,0,0.111111111,0,0.222222222
capsicum HR,0.333333333,0.666666667,0,0,0,0,0
capsicum LR,0.304347826,0.260869565,0.130434783,0.043478261,0.217391304,0,0.043478261
capsicum KR,0.278565471,0.311926606,0.199332777,0.045037531,0.06088407,0.06088407,0.043369475
capsicum NR,0.243386243,0.354497354,0.201058201,0.08994709,0.058201058,0.026455026,0.026455026
chillie NR,0.279279279,0.315315315,0.207207207,0.036036036,0.072072072,0.027027027,0.063063063
chillie KR,0.275941583,0.314373559,0.197540354,0.050730208,0.06302844,0.057647963,0.040737894
chillie MR,0,1,0,0,0,0,0
chillie LR,0,0.555555556,0.222222222,0.222222222,0,0,0
cauliflower MR,0.107142857,0.321428571,0.428571429,0.071428571,0.035714286,0.035714286,0
cauliflower HR,0.333333333,0.333333333,0.333333333,0,0,0,0
cauliflower LR,0.294871795,0.423076923,0.153846154,0.076923077,0.025641026,0.025641026,0
cauliflower KR,0.272262027,0.307062436,0.194472876,0.046059365,0.071647902,0.067553736,0.040941658
cauliflower NR,0.287833828,0.320474777,0.198813056,0.056379822,0.050445104,0.026706231,0.059347181
carrot MR,0.119047619,0.428571429,0.214285714,0.047619048,0.095238095,0.047619048,0.047619048
carrot HR,0.307692308,0.384615385,0,0.153846154,0.076923077,0,0.076923077
carrot LR,0.214285714,0.351190476,0.25,0.077380952,0.05952381,0.017857143,0.029761905
carrot KR,0.212765957,0.234042553,0.244680851,0.026595745,0.058510638,0.207446809,0.015957447
carrot NR,0.301383399,0.321146245,0.182806324,0.049407115,0.063241107,0.033596838,0.048418972
chowchow MR,0.333333333,0.444444444,0,0.111111111,0,0,0.111111111
chowchow HR,0,0.285714286,0.714285714,0,0,0,0
chowchow LR,0.24137931,0.310344828,0.172413793,0.103448276,0.068965517,0,0.103448276
chowchow KR,0.275127768,0.310051107,0.201873935,0.046848382,0.066439523,0.058773424,0.04088586
chowchow NR,0.279411765,0.352941176,0.171568627,0.06372549,0.049019608,0.044117647,0.039215686
corn MR,0,0.666666667,0,0.333333333,0,0,0
corn HR,0.333333333,0.333333333,0,0,0.333333333,0,0
corn LR,0.173913043,0.217391304,0.260869565,0.086956522,0.130434783,0,0.130434783
corn KR,0.280344558,0.310884886,0.195771339,0.048551292,0.063429914,0.060297572,0.040720439
corn NR,0.230769231,0.393162393,0.222222222,0.05982906,0.042735043,0.008547009,0.042735043
cucumber MR,0.666666667,0.333333333,0,0,0,0,0
cucumber HR,0,1,0,0,0,0,0
cucumber LR,0.210526316,0.421052632,0.105263158,0.105263158,0.052631579,0.052631579,0.052631579
cucumber KR,0.272087568,0.318217357,0.198592651,0.047693511,0.063330727,0.057075841,0.043002346
cucumber NR,0.297520661,0.280991736,0.214876033,0.074380165,0.066115702,0.033057851,0.033057851
drumstick MR,0.220338983,0.305084746,0.220338983,0.06779661,0.101694915,0.033898305,0.050847458
drumstick HR,0.142857143,0.714285714,0.142857143,0,0,0,0
drumstick LR,0.268656716,0.407960199,0.154228856,0.049751244,0.044776119,0.044776119,0.029850746
drumstick KR,0.296774194,0.225806452,0.15483871,0.04516129,0.051612903,0.2,0.025806452
drumstick NR,0.275724276,0.310689311,0.212787213,0.050949051,0.066933067,0.035964036,0.046953047
greens MR,0.21875,0.385416667,0.114583333,0.072916667,0.09375,0.0625,0.052083333
greens HR,0.227272727,0.272727273,0.136363636,0.090909091,0.136363636,0.045454545,0.090909091
greens LR,0.220858896,0.365030675,0.196319018,0.061349693,0.070552147,0.027607362,0.058282209
greens KR,0.30952381,0.238095238,0.195238095,0.033333333,0.038095238,0.152380952,0.033333333
greens NR,0.295188557,0.310793238,0.211963589,0.046814044,0.061118336,0.039011704,0.035110533
gourds MR,0.066666667,0.333333333,0.166666667,0.1,0.166666667,0.066666667,0.1
gourds HR,0,0,0,0.5,0,0,0.5
gourds LR,0.272108844,0.346938776,0.19047619,0.054421769,0.047619048,0.013605442,0.074829932
gourds KR,0.272727273,0.322134387,0.209486166,0.037549407,0.067193676,0.06916996,0.02173913
gourds NR,0.284552846,0.307588076,0.193766938,0.055555556,0.059620596,0.052845528,0.046070461
kovaikai MR,0,0.333333333,0.166666667,0.333333333,0.166666667,0,0
kovaikai HR,0,0,0,0,0,0.666666667,0.333333333
kovaikai LR,0.307692308,0.384615385,0.076923077,0,0.076923077,0.038461538,0.115384615
kovaikai KR,0.274853801,0.317460317,0.200501253,0.049289891,0.065162907,0.055973266,0.036758563
kovaikai NR,0.277486911,0.308900524,0.204188482,0.057591623,0.047120419,0.041884817,0.062827225
kothavarai NR,0.220588235,0.308823529,0.176470588,0.102941176,0.058823529,0.073529412,0.058823529
kothavarai KR,0.277198212,0.315946349,0.20119225,0.046199702,0.063338301,0.054396423,0.041728763
kothavarai MR,0,1,0,0,0,0,0
kothavarai LR,0.25,0.416666667,0,0.25,0.083333333,0,0
Lfinger MR,0.162790698,0.372093023,0.147286822,0.093023256,0.07751938,0.07751938,0.069767442
Lfinger HR,0.176470588,0.294117647,0.205882353,0.176470588,0.029411765,0,0.117647059
Lfinger LR,0.248927039,0.373390558,0.158798283,0.060085837,0.081545064,0.030042918,0.0472103
Lfinger KR,0.329787234,0.25177305,0.191489362,0.035460993,0.039007092,0.117021277,0.035460993
Lfinger NR,0.284563758,0.315436242,0.22147651,0.040268456,0.065771812,0.037583893,0.034899329
malli MR,0.166666667,0.166666667,0.416666667,0,0,0.083333333,0.166666667
malli HR,0,1,0,0,0,0,0
malli LR,0.224489796,0.448979592,0.12244898,0.06122449,0.06122449,0.06122449,0.020408163
malli KR,0.279174147,0.320466786,0.193895871,0.051166966,0.060143627,0.056552962,0.038599641
malli NR,0.267206478,0.279352227,0.222672065,0.048582996,0.08097166,0.044534413,0.056680162
mango MR,0.142857143,0.428571429,0,0.142857143,0,0,0.285714286
mango HR,0,0,1,0,0,0,0
mango LR,0.314285714,0.257142857,0.2,0.028571429,0.085714286,0.028571429,0.085714286
mango KR,0.282758621,0.30862069,0.2,0.054310345,0.06637931,0.053448276,0.034482759
mango NR,0.227272727,0.368181818,0.190909091,0.031818182,0.045454545,0.068181818,0.068181818
mushroom MR,0.285714286,0.428571429,0.142857143,0,0,0,0.142857143
mushroom HR,0,0.5,0.5,0,0,0,0
mushroom LR,0.205882353,0.235294118,0.294117647,0.147058824,0.058823529,0.029411765,0.029411765
mushroom KR,0.278092158,0.316895715,0.199676637,0.047696039,0.062247373,0.057396928,0.03799515
mushroom NR,0.258741259,0.328671329,0.160839161,0.055944056,0.076923077,0.041958042,0.076923077
nuckol MR,0,0.5,0,0.5,0,0,0
nuckol HR,1,0,0,0,0,0,0
nuckol LR,0,0.333333333,0,0.166666667,0.083333333,0.416666667,0
nuckol KR,0.278927203,0.311877395,0.202298851,0.049042146,0.062068966,0.052873563,0.042911877
nuckol NR,0.242718447,0.378640777,0.174757282,0.048543689,0.077669903,0.038834951,0.038834951
onion MR,0.139534884,0.418604651,0.162790698,0.093023256,0.139534884,0.023255814,0.023255814
onion HR,0.166666667,0.333333333,0,0,0.333333333,0,0.166666667
onion LR,0.243902439,0.414634146,0.170731707,0.054878049,0.054878049,0.006097561,0.054878049
onion KR,0.112903226,0.112903226,0.193548387,0.048387097,0.016129032,0.516129032,0
onion NR,0.292682927,0.31010453,0.204703833,0.048780488,0.06271777,0.038327526,0.042682927
peas MR,0.235294118,0.588235294,0.176470588,0,0,0,0
peas HR,0.5,0.5,0,0,0,0,0
peas LR,0.329411765,0.282352941,0.2,0.058823529,0.047058824,0.070588235,0.011764706
peas KR,0.268470343,0.32049948,0.198751301,0.044745057,0.065556712,0.061394381,0.040582726
peas NR,0.276536313,0.301675978,0.198324022,0.067039106,0.06424581,0.036312849,0.055865922
potroot MR,0.266666667,0.366666667,0.166666667,0.133333333,0.066666667,0,0
potroot HR,0.333333333,0,0.333333333,0,0.333333333,0,0
potroot LR,0.231707317,0.463414634,0.085365854,0.06097561,0.073170732,0.012195122,0.073170732
potroot KR,0.27251462,0.314619883,0.208187135,0.043274854,0.057309942,0.067836257,0.03625731
potroot NR,0.284768212,0.293598234,0.200883002,0.057395143,0.070640177,0.041942605,0.050772627
paneer MR,0.555555556,0.111111111,0.111111111,0.111111111,0,0,0.111111111
paneer HR,0,0.333333333,0.666666667,0,0,0,0
paneer LR,0.2,0.48,0.16,0.04,0.04,0,0.08
paneer KR,0.275559105,0.314696486,0.198881789,0.046325879,0.060702875,0.062300319,0.041533546
paneer NR,0.26119403,0.320895522,0.194029851,0.089552239,0.097014925,0,0.037313433
potato MR,0.15625,0.5,0.0625,0.0625,0.125,0,0.09375
potato HR,0.272727273,0.272727273,0.181818182,0,0,0.090909091,0.181818182
