A/C,RH_UT,N,RH,UT_OT,RH_OT,OT,UT
chowchow HR,0,0,0,0,0,0.6,0.4
chowchow LR,0.107142857,0,0.25,0.107142857,0.071428571,0.107142857,0.357142857
corn NR,0.058333333,0.008333333,0.216666667,0.041666667,0.041666667,0.191666667,0.441666667
corn KR,0.048742138,0.043238994,0.279874214,0.040880503,0.063679245,0.155660377,0.367924528
corn MR,0.25,0,0,0,0,0,0.75
corn HR,0,0,0.333333333,0,0.333333333,0,0.333333333
corn LR,0.086956522,0,0.173913043,0.130434783,0.130434783,0.217391304,0.260869565
cucumber NR,0.074380165,0.024793388,0.289256198,0.033057851,0.066115702,0.190082645,0.32231405
cucumber KR,0.047730829,0.040688576,0.270735524,0.043035994,0.063380282,0.157276995,0.3771518
cucumber MR,0,0,0.666666667,0,0,0,0.333333333
cucumber HR,0,0,0,0,0,0,1
cucumber LR,0.105263158,0.052631579,0.210526316,0.052631579,0.052631579,0.105263158,0.421052632
drumstick NR,0.051204819,0.026104418,0.275100402,0.047188755,0.067269076,0.164658635,0.368473896
drumstick KR,0.046052632,0.138157895,0.302631579,0.026315789,0.052631579,0.151315789,0.282894737
drumstick MR,0.064516129,0.032258065,0.193548387,0.048387097,0.096774194,0.177419355,0.387096774
drumstick HR,0,0,0.142857143,0,0,0.142857143,0.714285714
drumstick LR,0.048780488,0.034146341,0.263414634,0.029268293,0.043902439,0.131707317,0.448780488
greens NR,0.046814044,0.028608583,0.292587776,0.035110533,0.061118336,0.162548765,0.373211964
greens KR,0.034482759,0.113300493,0.320197044,0.034482759,0.039408867,0.172413793,0.285714286
greens MR,0.067961165,0.048543689,0.194174757,0.048543689,0.087378641,0.097087379,0.45631068
greens HR,0.090909091,0.045454545,0.227272727,0.090909091,0.136363636,0.090909091,0.318181818
greens LR,0.061538462,0.015384615,0.221538462,0.058461538,0.070769231,0.166153846,0.406153846
gourds NR,0.055782313,0.039455782,0.281632653,0.046258503,0.059863946,0.153741497,0.363265306
gourds KR,0.037924152,0.0499002,0.275449102,0.021956088,0.067864271,0.175648703,0.371257485
gourds MR,0.090909091,0.03030303,0.060606061,0.090909091,0.151515152,0.151515152,0.424242424
gourds HR,0.333333333,0,0,0.333333333,0,0,0.333333333
gourds LR,0.053333333,0.006666667,0.266666667,0.073333333,0.046666667,0.133333333,0.42
kovaikai NR,0.055555556,0.03030303,0.267676768,0.060606061,0.045454545,0.161616162,0.378787879
kovaikai KR,0.049747049,0.040472175,0.274873524,0.037099494,0.065767285,0.161045531,0.370994941
kovaikai MR,0.285714286,0,0,0,0.142857143,0.142857143,0.428571429
kovaikai HR,0,0.5,0,0.5,0,0,0
kovaikai LR,0,0.034482759,0.275862069,0.103448276,0.068965517,0.068965517,0.448275862
kothavarai LR,0.25,0,0.25,0,0.083333333,0,0.416666667
kothavarai NR,0.098591549,0.056338028,0.211267606,0.056338028,0.056338028,0.126760563,0.394366197
kothavarai KR,0.046337818,0.038863976,0.275784753,0.041853513,0.063527653,0.162182362,0.371449925
kothavarai MR,0,0,0,0,0,0,1
Lfinger NR,0.040376851,0.0269179,0.282637954,0.034993271,0.065948856,0.169582773,0.379542396
Lfinger KR,0.03649635,0.080291971,0.339416058,0.03649635,0.040145985,0.167883212,0.299270073
Lfinger MR,0.092307692,0.061538462,0.153846154,0.069230769,0.076923077,0.130769231,0.415384615
Lfinger HR,0.176470588,0,0.176470588,0.117647059,0.029411765,0.176470588,0.323529412
Lfinger LR,0.058091286,0.024896266,0.2406639,0.045643154,0.078838174,0.128630705,0.423236515
malli NR,0.047808765,0.035856574,0.258964143,0.055776892,0.079681275,0.183266932,0.338645418
malli KR,0.051351351,0.03963964,0.278378378,0.038738739,0.06036036,0.153153153,0.378378378
malli MR,0,0.090909091,0.181818182,0.181818182,0,0.363636364,0.181818182
malli HR,0,0,0,0,0,0,1
malli LR,0.06122449,0.040816327,0.224489796,0.020408163,0.06122449,0.12244898,0.469387755
mango NR,0.03196347,0.0456621,0.228310502,0.068493151,0.0456621,0.155251142,0.424657534
mango KR,0.054451167,0.038893691,0.280898876,0.034572169,0.066551426,0.159896283,0.364736387
mango MR,0.142857143,0,0.142857143,0.285714286,0,0,0.428571429
mango HR,0,0,0,0,0,0.333333333,0.666666667
mango LR,0.027777778,0.027777778,0.305555556,0.083333333,0.083333333,0.166666667,0.305555556
mushroom NR,0.054054054,0.027027027,0.25,0.074324324,0.074324324,0.135135135,0.385135135
mushroom KR,0.04785077,0.04136253,0.276561233,0.03811841,0.062449311,0.158961882,0.374695864
mushroom MR,0,0,0.285714286,0.142857143,0,0.142857143,0.428571429
mushroom HR,0,0,0,0,0,0.5,0.5
mushroom LR,0.15625,0.03125,0.21875,0.03125,0.0625,0.25,0.25
nuckol NR,0.047169811,0.018867925,0.235849057,0.037735849,0.075471698,0.141509434,0.443396226
nuckol KR,0.049268668,0.038491147,0.277906082,0.043110085,0.062355658,0.16243264,0.36643572
nuckol MR,0.5,0,0,0,0,0,0.5
nuckol HR,0,0,1,0,0,0,0
nuckol LR,0.142857143,0.285714286,0,0,0.071428571,0,0.5
onion NR,0.048951049,0.027972028,0.291083916,0.042832168,0.062937063,0.161713287,0.36451049
onion KR,0.055555556,0.407407407,0.12962963,0,0.018518519,0.203703704,0.185185185
onion MR,0.086956522,0.02173913,0.130434783,0.02173913,0.130434783,0.152173913,0.456521739
onion HR,0,0,0.166666667,0.166666667,0.333333333,0,0.333333333
onion LR,0.052325581,0.005813953,0.23255814,0.052325581,0.052325581,0.13372093,0.470930233
peas NR,0.06557377,0.027322404,0.270491803,0.054644809,0.06284153,0.163934426,0.355191257
peas KR,0.045406547,0.043294615,0.269271383,0.041182682,0.066525871,0.158394931,0.37592397
peas MR,0,0,0.222222222,0,0,0.166666667,0.611111111
peas HR,0,0,0.5,0,0,0,0.5
peas LR,0.056179775,0.056179775,0.314606742,0.011235955,0.04494382,0.146067416,0.370786517
potroot NR,0.058165548,0.031319911,0.286353468,0.051454139,0.071588367,0.161073826,0.340044743
potroot KR,0.04342723,0.048122066,0.271126761,0.036384977,0.057511737,0.166666667,0.376760563
potroot MR,0.125,0,0.25,0,0.0625,0.15625,0.40625
potroot HR,0,0,0.333333333,0,0.333333333,0.333333333,0
potroot LR,0.056818182,0.011363636,0.215909091,0.068181818,0.068181818,0.068181818,0.511363636
paneer NR,0.087591241,0,0.255474453,0.03649635,0.094890511,0.138686131,0.386861314
paneer KR,0.046511628,0.044907779,0.27425822,0.04170008,0.060946271,0.161186848,0.370489174
paneer MR,0.111111111,0,0.555555556,0.111111111,0,0.111111111,0.111111111
paneer HR,0,0,0,0,0,0.5,0.5
paneer LR,0.037037037,0,0.185185185,0.074074074,0.037037037,0.148148148,0.518518519
potato NR,0.046938776,0.026530612,0.3,0.040816327,0.064285714,0.166326531,0.355102041
potato KR,0.048245614,0.118421053,0.219298246,0.043859649,0.052631579,0.144736842,0.372807018
potato MR,0.057142857,0,0.142857143,0.085714286,0.114285714,0.057142857,0.542857143
potato HR,0,0.1,0.3,0.2,0,0.1,0.3
potato LR,0.076923077,0.01183432,0.207100592,0.029585799,0.065088757,0.159763314,0.449704142
pumkin NR,0.062937063,0.041958042,0.181818182,0.062937063,0.041958042,0.244755245,0.363636364
pumkin KR,0.04368932,0.040453074,0.286407767,0.039644013,0.063915858,0.151294498,0.374595469
pumkin MR,0.333333333,0,0.166666667,0,0,0,0.5
pumkin HR,0,0,0,0,0,0,1
pumkin LR,0.194444444,0,0.166666667,0.055555556,0.138888889,0.111111111,0.333333333
pudina NR,0.048979592,0.036734694,0.204081633,0.06122449,0.093877551,0.179591837,0.375510204
pudina KR,0.04968383,0.039747064,0.290876242,0.038843722,0.055103884,0.153568202,0.372177055
pudina MR,0.125,0.0625,0.1875,0.0625,0.125,0.3125,0.125
pudina HR,0,0,0.2,0.2,0.2,0.2,0.2
pudina LR,0.06122449,0.040816327,0.224489796,0,0.06122449,0.12244898,0.489795918
radish NR,0.043399638,0.028933092,0.276672694,0.047016275,0.061482821,0.157323689,0.38517179
radish KR,0.053262317,0.049267643,0.278295606,0.035952064,0.061251664,0.163781625,0.358189081
radish MR,0.041666667,0.041666667,0.291666667,0.041666667,0.125,0.166666667,0.291666667
radish HR,0,0,0,0,0,0,1
radish LR,0.076086957,0.02173913,0.195652174,0.065217391,0.076086957,0.130434783,0.434782609
tomato NR,0.048932384,0.03024911,0.283807829,0.040035587,0.065836299,0.165480427,0.365658363
tomato KR,0.041666667,0.305555556,0.208333333,0.013888889,0.083333333,0.152777778,0.194444444
tomato MR,0.128205128,0,0.179487179,0.205128205,0.051282051,0.051282051,0.384615385
tomato HR,0.142857143,0,0.285714286,0,0.142857143,0.142857143,0.285714286
tomato LR,0.044444444,0,0.244444444,0.033333333,0.038888889,0.144444444,0.494444444
tondaikai LR,0,0,0.2,0.2,0,0,0.6
tondaikai NR,0.10989011,0.021978022,0.252747253,0.054945055,0.098901099,0.131868132,0.32967033
tondaikai KR,0.046757164,0.040723982,0.273755656,0.040723982,0.061085973,0.161387632,0.375565611
vazpooThandu NR,0.058394161,0.03649635,0.284671533,0.04379562,0.04379562,0.189781022,0.343065693
vazpooThandu KR,0.049719326,0.040898156,0.271852446,0.04170008,0.066559743,0.158781075,0.370489174
